Body,Actual Tags,Predicted Tags
" 본원상표는 지정 상품 “롱코트,반바지,블루존,스커트,슬랙스,아동복,오버롤,오버코트,원피스,잠바,쟈켓,청바지,투피스,파카,T셔츠,가디간,남방셔츠,블라우스,스웨터,스웨터셔츠,스웨터팬츠,저지,조끼,케미솔,탱크탑,폴로셔츠,풀오버,레깅스”와 관련하여 볼 때 타인의 선등록 상표 제400224046(도형 미미 MIMI)와 1요부의 칭호가 동일 또는 유사하고, 지정 상품 “T셔츠,가디간,남방셔츠,블라우스,스웨터,스웨터셔츠,스웨터팬츠,저지,조끼,케미솔,탱크탑,폴로셔츠,풀오버”와 관련하여 볼 때 타인의 선등록 상표 제400607163호(베니르 venire)와 1요부의 칭호가 동일 또는 유사하며, 지정 상품 “롱코트,반바지,블루존,스커트,슬랙스,아동복,오버롤,오버코트,원피스,잠바,쟈켓,청바지,투피스,파카,레깅스,모자”와 관련하여 볼 때 타인의 선출원 상표 제4020060022805호(베니르 Benir),제4020060022800호(베니르 Benir)와 1요부의 칭호가 동일 또는 유사한 상표이므로, 상표법 제7조 제1항 제7호 및 제8조에 해당하여 상표등록을 받을 수 없습니다.","('발음유사',)","('관념유사', '기타', '발음유사', '상품 불명확', '식별력', '외관유사')"
" 1. 본원상표는 지정 상품 ‘계산척(計算尺),주판,전기자물쇠,가스누출경보기,도난경보기(수송기계기구용은 제외한다),불꽃감지기,연기감지기,열감지기,음향경보기,전기식 경보벨,화재경보기,교통사고방지용 착용반사판,명멸신호등,반사판,발광식 또는 기계식 교통신호판,발광식 또는 기계식 안전신호판,발광식 또는 기계식 표지판,발광식 또는기계식 도로표지,발광식 또는기계식 안전표시판,발광식 표지,발광식또는 기계식 교통신호기,발광식항로표지,차량고장경고용 발광식 삼각표지,이온화장치(공기처리용은 제외한다),전해조(電解槽),가감저항기,계전기,단로기,리액터,무대조명조절용장치,배선함,배전반,배전판,배전함,분기함,셀스위치,솔레노이드밸브(전자기적스위치),유도자,유도전압조정기,인버터,전기단자,전기변압기,전기스위치,전기자,전기저항기,전기전환기,전기접점,전류제어기,전류제한기,전선용 접속기,전선용 커넥터,전압급승압방지기,전지충전기,점멸기(點滅器),정류기,정류자,제어판,조명기구안정기,조상기,차단기,축전기,축전지충전기,퓨즈,피뢰기,피뢰침,혼선방지장치,회로차단기,회전변류기,건전지,광전지,습전지,축전지,태양전지,검류계,공중선측정기,발진기,오실로그래프,용량측정기,위상계,자기측정기,저항측정기,적산전력계,전기손실지시계,전기자기측정용 검출기,전력계,전류계,전압계,전파측정기,주파수계,진공관특성측정기,회로계,광섬유케이블,나선(裸線),동력케이블,전기동축케이블,전기케이블,전선,전선관,전신선,전화선,접속용 슬리브,접속함(接續函),종단함,통신케이블,피복전선,TV수상기전용 오락장치,전기다리미,전기모기채취기,전기버저,전기식 도어벨,전기식 헤어컬기,전기식 화장제거기구,전기인두,전기자동판매기(전자응용 판매기는 제외한다),전열식 양말,티켓자동판매기,DVD플레이어,MP3플레이어,녹음기계기구(영화용은 제외한다),녹음재생기구,동전작동식 자동음악연주장치(주크박스),라디오수신기,레코드플레이어,메가폰,비디오디스크플레이어,비디오레코더,비디오카세트,시계라디오,오디오 및 비디오수신기,음악용 주크박스,음향녹음장치,음향도관,음향송신장치,음향재생장치,음향커플러,전기축음기,진동판,진폭제한기,카세트플레이어,콤팩트디스크플레이어(CDP),텔레비전 수신기,텔레비전 위성방송수신기,확성기계기구,검파기,고정국다중통신기계기구,고정국단일통신기계기구,고주파장치,나선반송기계기구,녹음기 또는 VTR의 헤드청소용테이프,녹음디스크,녹음테이프,다이얼,라디오송신기,레이더기계기구,레코드원반,마이크로폰,모뎀,무선안테나용 지주(支柱),반송중계기계기구,방송용비디오카메라,방향탐지기,배전반표시등,변성기(變成器),보안기,비디오테이프,비디오폰,사진전송기,선박용 통신기계기구,수동교환기,수동전신기,수송기계기구용항법장치,수화기용 소독기,안테나,어댑터,오디오 및비디오용 미처리 콤팩트디스크,워키토키,원격측정제어기계기구,위성이용항법장치,음성주파전송기계기구,인공위성항행위치 및 지구위치결정장치,인쇄전신기,인터폰,자동교환기,자동전신기,전기코일,전기코일용 홀더,전기통신용 송신기,전력선반송기계기구,전화기,전화송화기,전화수화기,전화자동응답장치,전환기,주파수변환기,중계교환기,증폭기(앰프),차량용 통신기계기구,초킹코일(임피던스),케이블반송기계기구,텔레비전 송신기,텔레비전용프롬프터,텔레타이프라이터,텔레프린터,통화관,팩시밀리,페이저,픽업,항공기용 통신기계기구,헤드폰,휴대용 통신기계기구,CD-ROM,PDA,가이거계산기,광디스크,광전관(光電管),광학식 문자판독장치,기록된 컴퓨터작동프로그램,기록된컴퓨터소프트웨어,기록된컴퓨터프로그램,내려받기 가능한 컴퓨터프로그램(소프트웨어),노트북컴퓨터,라디오용 열전자관,랩탑컴퓨터,마우스,마우스 패드,마이크로프로세서,바코드판독기,발광식 전자포인터,브라운관,비디오게임카트리지,비의료용 X-선발생장치 및 시설,비의료용 X-선방호장치,비의료용 X-선장치,비의료용X-선관,비의료용레이저,비조명용 방전관,사이클로트론,수송기계기구조종 및 제어용시뮬레이터,수중청음기계기구,스캐너,열전자램프 및 열전자관,워드프로세서,워크스테이션,자기디스크,자기식(磁氣式) 인코더,자기탐광기,자기탐지기,자기테이프,자기테이프용 자기제거장치,전광게시판,전기식모니터장치,전열블랭킷,전자게시판,전자도난방지기,전자복사기,전자수첩,전자식 조립카드,전자신호송신기,전자응용자동문개폐장치,전자자동판매기,전자총,전자타자기,전자펜,전자현미경,전자회로학습기,정류관(整流管),중앙처리장치(프로세서),증폭용 전자관,지진탐광기계기구,진공관,집광발전검용기,초음파살충기,초음파응용측심기,초음파응용탐상기,초음파응용탐지기,컴퓨터,컴퓨터기억장치,컴퓨터모니터,컴퓨터용 디스크드라이브,컴퓨터용 손목지지대,컴퓨터용 자기테이프장치,컴퓨터용 주크박스,컴퓨터용 프린터,컴퓨터전자오락기구,컴퓨터키보드,케이블점검패널,태양광자동추적센서,폐쇄회로,플로터,플로피디스크,휴대용 전자계산기,휴대용 전자번역기,다이오드,반도체,웨이퍼,집적회로,터미스터,트랜지스터,프린트회로(回路),소켓,양극,음극,자석심,장식용자석,전극,전기콘센트 덮개,플러그,보호헬멧,스포츠용 보호헬멧,용접작업용 헬멧,방화피복,잠수복,녹음된테이프(음악이 녹음된 것은 제외한다),녹화된 테이프(음악이 녹음된것은 제외한다),자기식 열쇠카드,자기식 전화카드,자기식 크레디트카드,자기식전철표,노광된 영화필름,노광된 필름,만화영화,슬라이드필름,영사된 필름,내려받기 가능한 전자서적,내려받기 가능한 전자신문,내려받기 가능한 전자학습지’와 관련하여 볼 때 타인의 선등록 상표 제400632779[(도형) GEO Corporation]호, 400471582(지오 GEO)호, 400401204(GEO)호, 400384606[(도형) GEO]호, 400230974 (GEO)호, 400187432 (GEO)호, 400230979(게오 매거진 GEO MAGAZINE)호, 400414114(Geo Q.C)호, 400397506(Geo-MACS)호, 400399484(Geo Magic)호, 400660592[(도형) Geogreen]호와 (1요부의) (칭호, 관념)이 동일 또는 유사한 상표이므로 상표법 제7조 제1항 제7호에 해당하여 상표등록을 받을 수 없습니다. 다만, 상기 지적된 상품을 삭제하거나 분할하여 출원하는 등의 적법한 조치를 하면 다른 거절이유가 없는 한 본원상표는 등록을 받을 수 있습니다.2. 본원상표는 지정상품 ‘DVD플레이어,MP3플레이어,녹음기계기구(영화용은 제외한다),녹음재생기구,동전작동식 자동음악연주장치(주크박스),라디오수신기,레코드플레이어,메가폰,비디오디스크플레이어,비디오레코더,비디오카세트,시계라디오,오디오 및 비디오수신기,음악용 주크박스,음향녹음장치,음향도관,음향송신장치,음향재생장치,음향커플러,전기축음기,진동판,진폭제한기,카세트플레이어,콤팩트디스크플레이어(CDP),텔레비전 수신기,텔레비전 위성방송수신기,확성기계기구,검파기,고정국다중통신기계기구,고정국단일통신기계기구,고주파장치,나선반송기계기구,녹음기 또는 VTR의 헤드청소용테이프,녹음디스크,녹음테이프,다이얼,라디오송신기,레이더기계기구,레코드원반,마이크로폰,모뎀,무선안테나용 지주(支柱),반송중계기계기구,방송용비디오카메라,방향탐지기,배전반표시등,변성기(變成器),보안기,비디오테이프,비디오폰,사진전송기,선박용 통신기계기구,수동교환기,수동전신기,수송기계기구용항법장치,수화기용 소독기,안테나,어댑터,오디오 및비디오용 미처리 콤팩트디스크,워키토키,원격측정제어기계기구,위성이용항법장치,음성주파전송기계기구,인공위성항행위치 및 지구위치결정장치,인쇄전신기,인터폰,자동교환기,자동전신기,전기코일,전기코일용 홀더,전기통신용 송신기,전력선반송기계기구,전화기,전화송화기,전화수화기,전화자동응답장치,전환기,주파수변환기,중계교환기,증폭기(앰프),차량용 통신기계기구,초킹코일(임피던스),케이블반송기계기구,텔레비전 송신기,텔레비전용프롬프터,텔레타이프라이터,텔레프린터,통화관,팩시밀리,페이저,픽업,항공기용 통신기계기구,헤드폰,휴대용 통신기계기구,CD-ROM,PDA,가이거계산기,광디스크,광전관(光電管),광학식 문자판독장치,기록된 컴퓨터작동프로그램,기록된컴퓨터소프트웨어,기록된컴퓨터프로그램,내려받기 가능한 컴퓨터프로그램(소프트웨어),노트북컴퓨터,라디오용 열전자관,랩탑컴퓨터,마우스,마우스 패드,마이크로프로세서,바코드판독기,발광식 전자포인터,브라운관,비디오게임카트리지,비의료용 X-선발생장치 및 시설,비의료용 X-선방호장치,비의료용 X-선장치,비의료용X-선관,비의료용레이저,비조명용 방전관,사이클로트론,수송기계기구조종 및 제어용시뮬레이터,수중청음기계기구,스캐너,열전자램프 및 열전자관,워드프로세서,워크스테이션,자기디스크,자기식(磁氣式) 인코더,자기탐광기,자기탐지기,자기테이프,자기테이프용 자기제거장치,전광게시판,전기식모니터장치,전열블랭킷,전자게시판,전자도난방지기,전자복사기,전자수첩,전자식 조립카드,전자신호송신기,전자응용자동문개폐장치,전자자동판매기,전자총,전자타자기,전자펜,전자현미경,전자회로학습기,정류관(整流管),중앙처리장치(프로세서),증폭용 전자관,지진탐광기계기구,진공관,집광발전검용기,초음파살충기,초음파응용측심기,초음파응용탐상기,초음파응용탐지기,컴퓨터,컴퓨터기억장치,컴퓨터모니터,컴퓨터용 디스크드라이브,컴퓨터용 손목지지대,컴퓨터용 자기테이프장치,컴퓨터용 주크박스,컴퓨터용 프린터,컴퓨터전자오락기구,컴퓨터키보드,케이블점검패널,태양광자동추적센서,폐쇄회로,플로터,플로피디스크,휴대용 전자계산기,휴대용 전자번역기,다이오드,반도체,웨이퍼,집적회로,터미스터,트랜지스터,프린트회로(回路),녹음된테이프(음악이 녹음된 것은 제외한다),녹화된 테이프(음악이 녹음된것은 제외한다),자기식 열쇠카드,자기식 전화카드,자기식 크레디트카드,자기식전철표,내려받기 가능한 전자서적,내려받기 가능한 전자신문,내려받기 가능한 전자학습지’와 관련하여 볼 때, 타인의 선출원 상표 제863134(GEO)호와 (1요부의) (칭호, 관념)이 동일 또는 유사한 상표로서 상표법 제8조에 해당하여 상표등록을 받을 수 없습니다. 다만, 지적된 상품을 삭제하거나 분할하여 출원하는 등의 적법한 조치를 하면 다른 거절이유가 없는 한 본원상표는 등록을 받을 수 있습니다. 또한, 타인의 선출원 상표가 거절결정, 출원취하, 출원포기 또는 무효가 확정된 경우에도 다른 거절이유가 없는 한 본원상표는 등록받을 수 있습니다. 끝.","('관념유사', '발음유사')","('관념유사', '기타', '발음유사', '상품 불명확', '식별력', '외관유사')"
" 1. 본원상표는 지정 상품 “선글라스(Sunglasses),안경(Spectacles),안경케이스(Spectacle cases),안경테(Spectacle frames),시계 및 그부품(Horological instruments),크로노미터(Chronometricinstruments),귀석(Precious stones),보석(Jewellery),귀금속 및 그 합금과 귀금속제품 또는 귀금속도금제품(Precious metalsand their alloys and goods in precious metals or coated therewithnot included in other classes-다른 류에 속하는 것은 제외)”과 관련하여 볼 때 타인의 선등록 상표 제40-0660594(ENERGIE)호와 전부의 칭호가 동일하여 전체적으로 유사한 상표이므로 상표법 제7조 제1항 제7호에 해당하여 상표등록을 받을 수 없습니다. 다만, 상기 지적된 상품을 삭제하거나 분할하여 출원하는 등의 적법한 조치를 하면 다른 거절이유가 없는 한 본원상표는 등록을 받을 수 있습니다.2. 본원상표는 그 지정상품 중 “광학기계기구(Optical apparatus),광학제품(Optical goods),시계 및 그부품(Horological instruments),귀석(Precious stones),보석(Jewellery),귀금속 및 그 합금과 귀금속제품 또는 귀금속도금제품(Precious metalsand their alloys and goods in precious metals or coated therewithnot included in other classes-다른 류에 속하는 것은 제외)”은 여러 상품의 명칭을 포함하며 불명확한 명칭이므로 상표법 제10조에 해당하여 상표등록을 받을 수 없습니다.","('발음유사', '상품 불명확')","('관념유사', '기타', '발음유사', '상품 불명확', '식별력', '외관유사')"
" 본원상표는 지정상품 “전부”와 관련하여 볼때, 간단하고 흔한 표장에 해당하는 “AS""와 해당 지정상품에 다수 등록되어 식별력이 없는 표장인 ""EVER""로 구성된 상표로서 각 각 식별력이 없을 뿐만아니라, 전체적으로도 새로운 식별력을 형성하지 않으므로 지정상품에 사용시 “수요자가 누구의 업무에 관련된 상품을 표시하는 것인가를 식별할 수 없는 상표”에 해당되므로 상표법 제6조 제1항 제7호에 의하여 상표등록을 받을 수 없습니다.끝.","('식별력',)","('관념유사', '기타', '발음유사', '상품 불명확', '식별력', '외관유사')"
" 본원상표는 지정 상품 “전부”와 관련하여 볼 때 타인의 선등록 상표 제400136955호(POWER BILT)와 칭호, 관념이 동일 또는 유사한 상표이므로 상표법 제7조 제1항 제7호에 해당하여 상표등록을 받을 수 없습니다.","('관념유사', '발음유사')","('관념유사', '기타', '발음유사', '상품 불명확', '식별력', '외관유사')"
 본원상표의 요부인“Le Miel”은 지정 상품 “전부”와 관련하여 볼 때 타인의 선등록 상표 제400534712호(LEMIEN)와 칭호가 유사한 상표이므로 상표법 제7조 제1항 제7호에 해당하여 상표등록을 받을 수 없습니다.,"('발음유사',)","('관념유사', '기타', '발음유사', '상품 불명확', '식별력', '외관유사')"
" 본원상표는 그 지정상품 중 “가스보일러(난방설비용)”는 상품분류가 잘못 기재된 상품이므로 상표법 제10조에 해당하여 상표등록을 받을 수 없습니다. 다만, 지적된 상품명을 삭제하거나 상표법 시행규칙 [별표1]의 상품류구분표의 상품분류를 참고하여 정확한 상품류로 수정하면 다른 거절이유가 없는 한 본원상표는 등록받을 수 있습니다.※ 정확한 상품류: 11류. 끝.","('상품 불명확',)","('관념유사', '기타', '발음유사', '상품 불명확', '식별력', '외관유사')"
 1. 본원상표는 타인의 선등록 제450000502(몽생이)호와 전부의 칭호가 동일 또는 유사한 상표이므로 상표법 제7조 제1항 제7호에 해당하여 상표등록을 받을 수 없습니다. ( 관련상품 : 유아용 종이제 일회용 기저귀 )2. 본원상표는 그 지정상품 중 “나무조각”은 상품분류가 잘못 기재된 상품이므로 상표법 제10조에 해당하여 상표등록을 받을 수 없습니다. ※ 정확한 상품류:20류. 끝.,"('발음유사', '상품 불명확')","('관념유사', '기타', '발음유사', '상품 불명확', '식별력', '외관유사')"
" 본원상표 는 지정 상품 전부와 관련하여 볼 때 타인의 선등록 상표 제40-0566600호(도형),제40-0635056호(도형), 제40-0127373호 (도형+ MUNSINGWEAR), 제40-0137551호(도형+ 펭균표), 제40-0137550호(도형), 제40-0137396호(도형+ MUNSINGWEAR) 및 제40-0137552호(PENGUIN)와 관념, 외관이 동일 또는 유사한 상표이므로 각각 상표법 제7조 제1항 제7호에 해당하여 상표등록을 받을 수 없습니다. 끝.","('관념유사', '외관유사')","('관념유사', '기타', '발음유사', '상품 불명확', '식별력', '외관유사')"
" 본원상표는 지정 상품 교복,레인코트,롱코트,반코트,스커트,아동복,유아복,자켓,청바지,파카(Parkas),블라우스,수영모자,수영복,수영팬츠,운동용 유니폼,넥타이,목도리,스카프, 나이트캡,모자,의류용 후드,톱햇(Tophat)과 관련하여 볼 때 타인의 선등록 상표 제400008884(CATALINA)호와 전부의 칭호가 유사한 상표이므로 상표법 제7조 제1항 제7호에 해당하여 상표등록을 받을 수 없습니다. 다만, 상기 지적된 상품을 삭제하거나 분할하여 출원하는 등의 적법한 조치를 하면 다른 거절이유가 없는 한 본원상표는 등록을 받을 수 있습니다.","('발음유사',)","('관념유사', '기타', '발음유사', '상품 불명확', '식별력', '외관유사')"
" 1. 본원상표는 ‘꽤 좋은, 만족스러운’등의 뜻으로서 지정상품 ‘전부’에 사용하는 경우 그 상품의 품질, 효능을 보통으로 사용하는 방법으로 표시한 상표이므로 상표법 제6조 제1항 제3호에 해당하여 상표등록을 받을 수 없습니다.2. 본원상표는 그 지정상품 ‘탱크(금속제/석제는 제외)’는 여러 상품의 명칭을 포함하는 명칭이므로 상표법 제10조에 해당하여 상표등록을 받을 수 없습니다. 끝.","('상품 불명확', '식별력')","('관념유사', '기타', '발음유사', '식별력', '외관유사')"
" 1. 본원상표는 지정 상품 전부와 관련하여 볼 때 타인의 선등록 상표 제450014798(LAF/J@Fin)호, 400570771(LAF/J)호, 400275390 (REPO)호와 (전부의) (칭호)가 동일 또는 유사한 상표이므로 상표법 제7조 제1항 제7호에 해당하여 상표등록을 받을 수 없습니다.2. 본원상표는 그 지정상품 중 증포기(앰프)는 불명확하므로 상표법 제10조에 해당하여 상표등록을 받을 수 없습니다. 끝.","('발음유사', '상품 불명확')","('관념유사', '기타', '발음유사', '상품 불명확', '식별력', '외관유사')"
" 본원상표는 그 지정상품 중 아래의 상품은 상품분류가 잘못 기재된 상품이므로 상표법 제10조에 해당하여 상표등록을 받을 수 없습니다. 다만, 지적된 상품명을 삭제하거나 상표법 시행규칙 [별표1]의 상품류구분표의 상품분류를 참고하여 정확한 상품류로 수정하면 다른 거절이유가 없는 한 본원상표는 등록받을 수 있습니다.※ 정확한 상품류:아래 괄호안)아 래1. 알로에를 주성분으로 하는 건강기능식품(29류),2. 현미배아를 주성분으로 하는건강기능식품(30류),3. 소나무껍질을 주성분으로 하는 다이어트용 건강기능식품(29류),4. 누에에서 추출한 특수영양성분을 주성분으로 하는 건강기능식품(29류),5. 달맞이꽃에서 추출한 특수영양성분을 주성분으로 하는건강기능식품(29류),6. 사탕수수에서 추출한 특수영양성분을 주성분으로 하는 건강기능식품(29류),7. 포도나무에서 추출한 특수영양성분을 주성분으로 하는 건강기능식품(29류),8. 옥수수가루에서 추출한 특수영양성분을 주성분으로 하는 건강기능식품(30류) 끝.","('상품 불명확',)","('관념유사', '기타', '발음유사', '상품 불명확', '식별력', '외관유사')"
" 1. 본원상표는 지정상품 ‘전부’와 관련하여 볼 때 타인의 선등록 상표 제40-437875호[(도형) 디오사가구 DIOSA]와 1요부의 칭호가 유사한 상표이므로 상표법 제7조 제1항 제7호에 해당하여 상표등록을 받을 수 없습니다.2. 본원상표는 그 지정상품 중 ‘가정용가구’가 여러 상품의 명칭을 포함하는 명칭이므로 상표법 제10조에 해당하여 상표등록을 받을 수 없습니다. 다만, 지적된 상품명을 상표법 시행규칙 [별표1]의 상품류구분표에 예시된 상품명칭을 참고하여 구체적인 지정상품명으로 수정하면 다른 거절이유가 없는 한 등록받을 수 있습니다. 끝.","('발음유사', '상품 불명확')","('관념유사', '기타', '발음유사', '상품 불명확', '식별력', '외관유사')"
